Experiment ,Metal ,Concentration,Conc_unit,Response ,Duration,Date,Tube,L1,L2,L3,L4,L5,D1,D2,D3,D4,D5
1,Cu,0,TU,Survival,24,22/11/2022,A,21,17,12,19,NA,7,3,2,2,NA
1,Cu,0,TU,Survival,24,22/11/2022,B,24,20,16,18,NA,2,1,0,1,NA
1,Cu,0,TU,Survival,24,22/11/2022,C,16,22,9,20,NA,0,2,1,1,NA
1,Cu,0.2,TU,Survival,24,22/11/2022,D,3,5,7,5,NA,1,1,3,4,NA
1,Cu,0.2,TU,Survival,24,22/11/2022,E,16,1,24,23,NA,6,2,23,9,NA
1,Cu,0.2,TU,Survival,24,22/11/2022,F,15,10,9,24,NA,9,4,6,11,NA
1,Cu,0.4,TU,Survival,24,22/11/2022,G,5,11,13,18,NA,2,4,8,12,NA
1,Cu,0.4,TU,Survival,24,22/11/2022,H,19,16,8,11,NA,5,7,0,2,NA
1,Cu,0.4,TU,Survival,24,22/11/2022,I,4,5,5,17,NA,1,2,2,5,NA
1,Cu,1,TU,Survival,24,22/11/2022,J,4,4,13,7,NA,0,2,2,0,NA
1,Cu,1,TU,Survival,24,22/11/2022,K,11,8,12,5,NA,8,8,5,9,NA
1,Cu,1,TU,Survival,24,22/11/2022,L,13,5,3,7,NA,1,2,5,1,NA
1,Cu,2,TU,Survival,24,22/11/2022,M,1,6,9,1,NA,9,6,13,14,NA
1,Cu,2,TU,Survival,24,22/11/2022,N,9,6,3,3,NA,3,3,1,3,NA
1,Cu,2,TU,Survival,24,22/11/2022,O,8,7,6,8,NA,4,7,1,17,NA
1,Cu,4,TU,Survival,24,22/11/2022,P,8,6,5,5,NA,1,2,2,8,NA
1,Cu,4,TU,Survival,24,22/11/2022,Q,8,6,7,2,NA,1,6,4,4,NA
1,Cu,4,TU,Survival,24,22/11/2022,R,9,5,3,3,NA,4,1,2,3,NA
1,Cu,6,TU,Survival,24,22/11/2022,S,9,6,2,2,NA,6,5,5,7,NA
1,Cu,6,TU,Survival,24,22/11/2022,T,3,1,3,7,NA,13,17,10,24,NA
1,Cu,6,TU,Survival,24,22/11/2022,U,1,2,1,3,NA,9,4,5,10,NA
1,Cu,0,TU,Survival,48,23/11/2022,A,16,19,22,13,NA,7,3,2,2,NA
1,Cu,0,TU,Survival,48,23/11/2022,B,17,13,16,16,NA,2,1,0,1,NA
1,Cu,0,TU,Survival,48,23/11/2022,C,16,18,21,13,NA,4,4,2,6,NA
1,Cu,0.2,TU,Survival,48,23/11/2022,D,5,9,6,4,NA,8,14,9,8,NA
1,Cu,0.2,TU,Survival,48,23/11/2022,E,3,11,4,8,NA,18,11,7,6,NA
1,Cu,0.2,TU,Survival,48,23/11/2022,F,4,3,5,8,NA,2,3,6,4,NA
1,Cu,0.4,TU,Survival,48,23/11/2022,G,6,5,2,6,NA,4,7,5,11,NA
1,Cu,0.4,TU,Survival,48,23/11/2022,H,11,3,1,7,NA,2,9,5,6,NA
1,Cu,0.4,TU,Survival,48,23/11/2022,I,4,3,4,4,NA,3,6,9,12,NA
1,Cu,1,TU,Survival,48,23/11/2022,J,1,1,3,1,NA,2,2,3,7,NA
1,Cu,1,TU,Survival,48,23/11/2022,K,1,1,0,0,NA,8,12,11,22,NA
1,Cu,1,TU,Survival,48,23/11/2022,L,4,4,3,2,NA,6,8,7,7,NA
1,Cu,2,TU,Survival,48,23/11/2022,M,8,1,1,1,NA,5,18,17,10,NA
